id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_leave_request,leave_request,model_leave_request,,1,1,1,1
access_overtime_request,overtime_request,model_overtime_request,,1,1,1,1
access_overtime_policy,overtime_policy,model_overtime_policy,,1,1,1,1
access_hr_contract_emp_requst,hr_contract_emp_requst,hr_contract.model_hr_contract,employees_request.request_access_user,1,0,0,0
access_hr_employee_emp_requst,hr_contract_emp_requst,hr.model_hr_employee,employees_request.request_access_user,1,1,0,0
access_model_hr_contract,model_hr_contract,hr_contract.model_hr_contract,employees_request.request_access_user,1,0,0,0
access_hr_payroll_structure_type,hr_payroll_structure_type,hr_contract.model_hr_payroll_structure_type,employees_request.request_access_user,1,0,0,0
access_hr_payroll_structure,hr_payroll_structure,hr_payroll.model_hr_payroll_structure,employees_request.request_access_user,1,0,0,0
access_model_hr_payslip,model_hr_payslip,hr_payroll.model_hr_payslip,employees_request.request_access_user,1,0,0,0
access_model_hr_payslip,model_hr_payslip,hr_payroll.model_hr_payslip,employees_request.request_access_user,1,0,0,0
access_model_hr_payslip_line,model_hr_payslip_line,hr_payroll.model_hr_payslip_line,employees_request.request_access_user,1,0,0,0
access_model_account_move_line,model_account_move_line,account.model_account_move_line,employees_request.request_access_user,1,0,0,0
access_model_res_config_settings,model_res_config_settings,base.model_res_config_settings,employees_request.emp_request_access_group_admin,1,1,0,0
access_model_ir_module_module,model_ir_module_module,base.model_ir_module_module,employees_request.emp_request_access_group_admin,1,0,0,0
access_model_account_chart_template,model_account_chart_template,account.model_account_chart_template,employees_request.emp_request_access_group_admin,1,1,0,0
access_model_res_company_requst,model_res_companyp_requst,base.model_res_company,employees_request.request_access_user,1,1,0,0
access_model_account_journalrequst,model_account_journal,account.model_account_journal,employees_request.request_access_user,1,0,0,0
access_model_account_move_requst,model_account_move,account.model_account_move,employees_request.request_access_user,1,0,1,0
access_model_account_move_line_requst,model_account_move_line,account.model_account_move_line,employees_request.request_access_user,1,0,1,0
access_model_partial_reconcile_requst,model_partial_reconcile,account.model_account_partial_reconcile,employees_request.request_access_user,1,0,0,0
access_letter_request_requst,letter_request,model_letter_request,,1,1,1,1
access_emp_internal_request,emp_internal_request,model_emp_internal_request,,1,1,1,1
access_emp_insurance_request,emp_insurance_request,model_emp_insurance_request,,1,1,1,1
access_model_insurance_request_line,model_insurance_request_line,model_insurance_request_line,,1,1,1,1
access_model_insurance_relation,model_insurance_relation,model_insurance_relation,,1,1,1,1
access_model_emp_resignation_request,model_emp_resignation_request,model_emp_resignation_request,,1,1,1,1
access_model_emp_card_request,model_emp_card_request,model_emp_card_request,,1,1,1,1
access_model_emp_financial_request,model_emp_financial_request,model_emp_financial_request,,1,1,1,1
access_model_emp_salary_breakdown_request,model_emp_salary_breakdown_request,model_emp_salary_breakdown_request,,1,1,1,1
access_model_emp_medical_request,model_emp_medical_request,model_emp_medical_request,,1,1,1,1
access_model_emp_study_request,model_emp_study_request,model_emp_study_request,,1,1,1,1
access_model_certification_level,model_certification_level,model_certification_level,,1,1,1,1
access_model_study_field,model_study_field,model_study_field,,1,1,1,1
access_model_emp_ticket_request,model_emp_ticket_request,model_emp_ticket_request,,1,1,1,1
access_model_emp_need_request,model_emp_need_request,model_emp_need_request,,1,1,1,1
access_model_emp_deputation_request,model_emp_deputation_request,model_emp_deputation_request,,1,1,1,1
access_model_deputation_request_line,model_deputation_request_line,model_deputation_request_line,,1,1,1,1
access_model_hr_event_user,model_hr_event,model_hr_event,,1,1,1,1
access_model_hr_event_line_user,model_hr_event_line,model_hr_event_line,,1,1,1,1
access_model_emp_study_include_request,model_emp_study_include_request,model_emp_study_include_request,,1,1,1,1
access_model_emp_overtime_request,model_emp_overtime_request,model_emp_overtime_request,,1,1,1,1
access_model_overtime_request_line,model_overtime_request_line,model_overtime_request_line,,1,1,1,1
access_model_field_work_lines,model_field_work_lines_seq,model_field_work_lines,,1,1,1,1
access_need_deputation_request_line,access.need.deputation.request.line,model_need_deputation_request_line,base.group_user,1,1,1,1
access_need_overtime_request_line,access.need.overtime.request.line,model_need_overtime_request_line,base.group_user,1,1,1,1






